video_ID,age,category,views,rate
SZN1ZIHaSEQ,745,Music,159108,3.35
1l66lVMNvSM,744,Music,155152,2.36
ZgwWgl-jYKU,744,Music,126714,3.83
Mg6G_Hcdz6g,745,Music,62986,4.66
xdXEine81DE,745,Music,21524,4.49
5hm7XxcMZFU,745,Music,16542,4.88
cl_0uqkxoFE,744,Music,14140,4.41
y05er2lEEXc,744,Music,13545,4.83
y19_IgmiGDI,745,Music,12919,4.77
gANtV_Zt0pA,745,Music,12817,4.79
Tx1jROal1TI,745,Music,11786,4.62
wf0J9JusMGk,745,Music,10168,4.52
zaDIeXEJPyo,745,Music,9949,4.71
IFhqs1IpGi4,745,Music,9421,4.67
x5VdYqd6CdA,743,Music,91318,4.54
7qOhAojLJHc,745,Music,3113,4.95
Ntf90dyYDtM,746,Music,1038,4.87
yxh_JexhvzA,744,Music,2628,4.87
_7CDT820D7c,745,Music,2637,4.83
AH3ZsHr7dNc,745,Music,1151,4.09
pX1IWXwFPrg,745,Music,2024,4.85
0HwS8loQLog,745,Music,237,4.89
Bc7ji037Qg8,745,Music,2408,4.82
lfUBH8Mb20s,745,Music,5483,4.85
