Region_1,High_Rated_Count,Average_Points
Abruzzo,2,90.0
Adelaida District,48,91.83333333333333
Adelaide,2,91.0
Adelaide Hills,13,90.38461538461539
Aglianico del Beneventano,1,93.0
Aglianico del Taburno,3,91.0
Aglianico del Vulture,23,91.34782608695652
Agrelo,9,90.44444444444444
Albana di Romagna,3,91.66666666666667
Alexander Valley,177,91.3954802259887
Alghero,2,91.0
Alicante,8,90.875
Aloxe-Corton,12,91.25
Alsace,588,91.96428571428571
Alta Langa,7,90.57142857142857
Alta Mesa,1,90.0
Alto Adige,86,90.81395348837209
Alto Adige Terlano,2,90.5
Alto Adige Valle Isarco,11,90.9090909090909
Alto Valle del Río Negro,3,90.66666666666667
Amador County,70,91.18571428571428
Amarone della Valpolicella,46,91.08695652173913
Amarone della Valpolicella Classico,139,91.58992805755396
Amarone della Valpolicella Valpantena,3,90.66666666666667
Ancient Lakes,7,90.42857142857143
Anderson Valley,220,91.81363636363636
Anjou,4,91.25
Anjou Villages Brissac,6,91.33333333333333
Applegate Valley,24,91.5
Arbois,9,91.11111111111111
Ardèche,2,91.5
Argentina,2,93.0
Arroyo Grande Valley,53,92.11320754716981
Arroyo Seco,35,91.31428571428572
Asolo Prosecco Superiore,1,90.0
Asti,1,90.0
Atlas Peak,14,91.71428571428571
Aude Hauterive,2,91.0
Australia,2,90.5
Auxey-Duresses,2,90.5
Ballard Canyon,33,91.9090909090909
Bandol,37,91.5945945945946
Barbaresco,222,91.62162162162163
Barbera d'Alba,16,90.4375
Barbera d'Alba Superiore,6,90.16666666666667
Barbera d'Asti,9,91.11111111111111
Barbera d'Asti Superiore,3,90.0
Barbera d'Asti Superiore Nizza,2,91.5
Barbera del Monferrato Superiore,1,92.0
Bardolino,2,91.0
Barolo,539,92.07792207792208
Barossa,42,91.9047619047619
Barossa Valley,46,92.26086956521739
Barsac,25,92.92
Basilicata,2,91.0
Beamsville Bench,5,92.0
Beaujolais-Villages,8,90.125
Beaune,68,92.25
Ben Lomond Mountain,4,92.5
Bendigo,2,91.5
Bennett Valley,20,91.15
Bergerac,2,90.0
Bergerac Sec,6,90.83333333333333
Bienvenues Bâtard-Montrachet,1,96.0
Bierzo,31,91.41935483870968
Biferno Rosso,1,91.0
Big Valley District-Lake County,1,90.0
Blaye Côtes de Bordeaux,37,90.54054054054055
Boca,4,92.25
Bolgheri,38,90.76315789473684
Bolgheri Sassicaia,4,97.0
Bolgheri Superiore,35,92.57142857142857
Bonnes-Mares,2,95.0
Bonnezeaux,3,93.0
Bordeaux,11,90.81818181818181
Bordeaux Blanc,38,90.55263157894737
Bordeaux Rosé,2,90.0
Bordeaux Supérieur,23,90.04347826086956
Bourgogne,1,90.0
Bourgogne Epineuil,1,90.0
Bourgueil,9,91.44444444444444
Bramaterra,8,91.375
Breganze,1,92.0
Brouilly,4,90.25
Brulhois,1,90.0
Brunello di Montalcino,524,92.15648854961832
Buzet,1,90.0
Bâtard-Montrachet,11,95.0
Cadillac,1,92.0
